epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
107,4517.39,1.39829,1.25551,1.33161,0.50087,0.46397,0.51587,0.28424,1.49572,1.24226,1.43729,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,4559.37,1.40485,1.24654,1.33335,0.57043,0.49474,0.52547,0.29106,1.5184,1.23435,1.45402,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,4601.26,1.37783,1.2168,1.32104,0.5196,0.49901,0.51745,0.29247,1.53452,1.22826,1.46963,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,4643.39,1.3864,1.23316,1.33475,0.59079,0.46891,0.51756,0.2876,1.49665,1.23184,1.45802,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,4685.49,1.40095,1.24099,1.32846,0.57596,0.45614,0.50826,0.28162,1.52229,1.23674,1.46507,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,4727.37,1.38419,1.22523,1.32214,0.54232,0.46635,0.51087,0.28438,1.53014,1.24613,1.46536,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,4769.75,1.39799,1.23573,1.32832,0.50772,0.54435,0.51921,0.28602,1.52914,1.25095,1.46951,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,4812.26,1.39345,1.23096,1.32661,0.53219,0.48682,0.51232,0.28463,1.4856,1.22972,1.43749,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,4854.25,1.37689,1.20582,1.32271,0.51232,0.46804,0.50247,0.276,1.51164,1.24624,1.46131,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,4896.67,1.37307,1.21209,1.3157,0.43974,0.58872,0.5141,0.28505,1.48032,1.25016,1.44615,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,4939.02,1.38069,1.20939,1.31024,0.54843,0.47714,0.51161,0.28418,1.47649,1.25931,1.44678,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,4981.5,1.38067,1.20857,1.31309,0.48555,0.55062,0.51588,0.28725,1.51517,1.26955,1.46929,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,5023.81,1.35644,1.18979,1.30511,0.62347,0.47262,0.49833,0.27826,1.54753,1.2918,1.47436,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,5066.1,1.36569,1.19716,1.30772,0.64012,0.4753,0.49465,0.27474,1.54725,1.29259,1.48019,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,5108.49,1.36083,1.17799,1.30611,0.54953,0.51095,0.49883,0.27382,1.52308,1.27242,1.46414,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,5151.04,1.35896,1.16808,1.2943,0.49984,0.51445,0.49821,0.2789,1.51965,1.25192,1.47291,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,5193.06,1.35718,1.17193,1.2932,0.52341,0.48849,0.50857,0.28551,1.48759,1.25762,1.44661,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,5235.56,1.35997,1.17107,1.30132,0.57787,0.49092,0.51699,0.28663,1.51687,1.25445,1.45944,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,5278.27,1.33805,1.18219,1.29044,0.65276,0.44997,0.51308,0.28245,1.57014,1.36784,1.4936,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,5320.49,1.36941,1.17243,1.30869,0.55898,0.47763,0.50452,0.27699,1.54727,1.34742,1.46556,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,5362.81,1.3433,1.16995,1.29217,0.52669,0.45469,0.50479,0.28129,1.52832,1.30566,1.46655,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,5405.26,1.36214,1.16711,1.30165,0.57942,0.52768,0.52337,0.28901,1.51542,1.27032,1.45534,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,5447.44,1.34753,1.15858,1.2957,0.56818,0.47443,0.50636,0.27836,1.54465,1.27518,1.48177,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
